Dutch,English
aanraken,to touch
genieten,enjoy
ontslag,dismissal
verslagen,reports
opgesloten,locked up
groen,green
heette,was called
graf,grave
bond,bond
high,high
stand,stand
aardige,nice
raden,councils
vinger,finger
bomen,trees
helikopter,helicopter
manager,manager
vrolijk,cheerful
Dean,Dean
zicht,sight
slaapkamer,bedroom
verbrand,burnt
rekenen,calculate
kust,coast
race,race
leraar,teacher
zonde,shame
stof,dust
pot,pot
eieren,eggs
verdedigen,defend
kanker,cancer
wellicht,perhaps
gedronken,drank
daarheen,to there
herken,to recognise
gas,gas
knieën,knees
ontdekken,discover
bedoeld,meant
verbonden,connected
smaak,taste
job,Job
reactie,reaction
bescherming,protection
bevelen,order
vervangen,replace
huh,huh
tellen,to count
mogelijkheid,possibility
moeilijke,difficult
Nathan,Nathan
achterlaten,leave
voorstel,proposal
afspraakje,date
Angeles,Angeles
vlieg,fly
dekking,coverage
wed,wed
ho,ho
pillen,pills
Europa,Europe
wetenschap,science
naakt,naked
pauze,break
vrees,fear
schrijft,writes
waarde,value
priester,priest
natuur,nature
pik,cock
binnenkomen,enter
detective,detective
gerust,reassured
maandag,Monday
volledige,sufficient
beer,bear
meerdere,multiple
heks,witch
assistent,assistant
eeuw,century
toegeven,to give in
spring,spring
verhuizen,to move house
vermoordde,murdered
verstoppen,hide
brood,bread
bemanning,crew
troepen,troops
zwijg,be silent
zondag,Sunday
dienen,serve
Rose,Rose
Roger,Roger
opgenomen,included
oosten,east
gescheiden,divorced
plus,plus
ademen,to breathe
aanbod,offer
wensen,wishes
doei,bye
gekend,known
aanbieden,to offer
politiek,politics
Russische,Russian
Morgan,Morgan
genade,grace
gewend,accustomed
internet,internet
buren,neighbors
opgelost,dissolved
pizza,pizza
dek,deck
grijp,grab
eenzaam,lonely
vervelend,annoying
leugens,lies
erheen,there
keizer,emperor
verslag,report
wild,wild
telt,counts
nachtmerrie,nightmare
horloge,watch
staten,states
bewerkt,edited
vals,false
bezoeken,visits
leert,learns
min,min
seconde,second
aanwezig,present
interesseert,interests
meent,believes
streek,region
beweegt,moves
feiten,facts
burgers,citizens
waarheen,to where
hierin,in this
interesse,interest
eindigen,to end
patiënten,patients
schrikken,to startle
buik,belly
stront,shit
regen,rain
technologie,technology
rechten,rights
muren,walls
chauffeur,driver
noord,north
garage,garage
netjes,correctly
terrein,terrain
lekkere,tasty
olie,oil
klap,clap
date,date
graven,to dig
nationale,national
voorbeeld,example
besluit,decision
hang,hang
herhaal,repeat
champagne,Champagne
oceaan,ocean
geur,scent
zelfde,same
groeten,greetings
verandering,change
ruiken,smell
vierde,fourth
waarschuwen,warn
verdien,earn
bord,board
ambulance,ambulance
neerschieten,shoot
spiegel,mirror
hersens,brain
momenteel,currently
dubbele,double
omstandigheden,circumstances
melden,report
sync,sync
tegelijk,at the same time
knappe,handsome
woede,fury
leefde,lived
nat,wet
jury,jury
groeien,to grow
wezens,creatures
russen,Russians
morgenochtend,tomorrow morning
wegens,due to
kampioen,champion
loog,lye
accepteren,accept
studeren,studying
behandeld,treated
tieten,tits
ernaar,after it
stopte,stopped
vormen,forms
grotere,larger
gedag,goodbye
kist,chest
ruil,exchange
engel,angel
Edward,Edward
gods,gods
bril,glasses
keel,throat
lef,guts
ervandoor,run away
lichten,lights
medelijden,pity
tel,count
rijke,rich
tunnel,tunnel
haten,hate
afgesloten,closed
opzoeken,look up
hal,hall
terugkomt,comes back
slimme,smart
wedden,bet
lichamen,bodies
handel,trade
huizen,houses
dief,thief
moordenaars,murderers
hoogheid,Highness
poging,attempt
Jesse,Jesse
materiaal,material
toestand,condition
amper,barely
voorlopig,provisional
veilige,safe
verloofde,fiancée
daarin,therein
slet,slut
Texas,Texas
oefenen,to practice
Franse,French
woonde,lived
prettige,pleasant
voordeel,advantage
eindigt,ends
vliegt,flies
verdediging,defense
vanochtend,this morning
zielig,pathetic
Wilson,Wilson
woestijn,desert
apparaat,device
rat,rat
kocht,bought
lossen,solve
diner,dinner
cliënt,client
feite,fact
verkoopt,sells
idioten,idiots
komende,upcoming
plegen,commit
kaartje,card
-ste,-ste
dier,animal
waarschuwing,warning
verbinding,connection
dichter,poet
wijze,wise
pensioen,pension
Afrika,Africa
winnaar,winner
drinkt,drinks
scheelt,makes a difference
doodde,killed
lieten,let
smerig,dirty
bewakers,guards
klok,clock
oor,ear
verzet,resists
stijl,style
richten,aim
invloed,influence
opgepakt,arrested
mogelijke,possible
spelletjes,games
kerstman,Santa Claus
markt,market
bewaren,save
brieven,letters
studenten,students
varken,pig
komst,arrival
lelijk,ugly
centrum,center
vijftien,fifteen
kaas,cheese
genie,genius
valse,false
donkere,dark
huur,rent
VS,US
verdween,disappeared
overtuigd,convinced
aangezien,since
cijfers,figures
overwinning,victory
behandeling,treatment
belofte,promise
bekeken,viewed
breekt,breaks
jarige,birthday
training,training
artikel,article
stelletje,couple
kloppen,to beat
maakten,made
verrast,surprised
beroep,profession
honderden,hundreds
zette,set
waardeloos,worthless
rechtbank,court
Robin,Robin
wijzen,ways
vingerafdrukken,fingerprints
bleek,pale
maagd,virgin
camera's,cameras
China,China
personeel,staff
minstens,at least
schitterend,wonderful
diegene,that person
starten,start
geheel,entirely
jeugd,youth
berichten,to inform
mensheid,humanity
gepland,planned
ramp,disaster
onderwerp,subject
Californië,California
zwembad,swimming pool
explosie,explosion
ha,ha
duurde,lasted
noch,nor
sliep,slept
redelijk,reasonable
excuus,excuse
moge,may
smeek,plead
geintje,just kidding
pen,pen
terroristen,terrorists
boerderij,farm
belangrijker,more important
burger,burger
doodt,kills
overtuigen,convince
nep,fake
diamanten,diamonds
aap,monkey
ophangen,to hang
verderop,further on
jacht,hunt
masker,mask
mars,Mars
onthouden,to remember
kleding,clothing
schaduw,shadow
overkomt,happens
bovendien,moreover
Duitse,German
fearless,fearless
walgelijk,disgusting
amen,amen
richt,direction
dwars,thwarted
vriendschap,friendship
7Up,7Up
slang,snake
gouverneur,governor
touw,rope
onthoud,remember
daarbij,in addition
zand,sand
plicht,duty
trok,pulled
wegkomt,gets away
onschuldige,innocent
collega,co-worker
onszelf,ourselves
voorbereid,prepared
haalde,fetched
Greg,Greg
verwijderd,deleted
veranderde,changed
gunst,favor
okee,okay
leden,members
wassen,to wash
win,win
gepleegd,committed
snijden,cutting
Frans,French
reputatie,reputation
teleurgesteld,disappointed
letten,pay attention
uniform,uniform
verklaren,to declare
monsters,monsters
fan,fan
bruid,bride
overheid,government
enterprise,enterprise
gewaarschuwd,warned
daarbuiten,outside
daarover,about that
leest,reads
gezondheid,health
geliefde,beloved
ontmoeting,meeting
stinkt,stinks
uiteraard,of course
makker,buddy
vanmiddag,this afternoon
aangekomen,arrived
meedoen,participate
minst,least
maag,stomach
route,route
omgaan,to deal with
hoogste,highest
verrader,traitor
indrukwekkend,impressive
mogelijkheden,possibilities
Helen,Helen
gebaseerd,based
Nederlandse,Dutch
verschuldigd,owed
lever,liver
scheiden,to divorce
sprong,jump
daarbinnen,inside there
wolf,wolf
whisky,whiskey
lady,lady
live,live
voldoende,sufficient
onderzocht,investigated
universum,universe
ontzettend,tremendous
gevochten,fought
Marshall,Marshall
pop,pop
lijf,body
douche,shower
hieruit,from this
junior,junior
golf,golf
Amerikaan,American
kut,cunt
model,model
geldt,applies
seizoen,season
omlaag,down
nummers,numbers
trainen,training
mijl,mile
jongeman,young man
welnee,Not at all
broertje,little brother
marine,navy
pakte,grabbed
wandelen,walking
herstellen,repair
robot,robot
ongerust,worried
vijftig,fifty
gegooid,thrown
duisternis,darkness
jochie,little boy
hi,Hi
hekel,hate
doodgaan,to die
Cole,Cole
briefje,note
tweeën,two
achteren,behind
getekend,signed
vlakbij,nearby
prettig,pleasant
teef,bitch
schoten,shots
eisen,to demand
schrijver,writer
knop,knob
sigaret,cigarette
smerige,dirty
reageren,respond
vloek,curse
achterna,after
legende,legend
stonden,stood
ai,AI
banden,tyres
branden,burn
aangenomen,accepted
nul,zero
borsten,breasts
Miles,Miles
hierover,about this
bovenop,on top
vampier,vampire
overeenkomst,agreement
brave,brave
optreden,perform
brak,broke
gesteld,stated
vuil,filthy
dinsdag,Tuesday
vergat,forgot
verenigde,united
verdriet,grief
vijfde,fifth
Berlijn,Berlin
vieze,dirty
bezorgen,deliver
teruggaan,go back
straten,streets
lippen,lips
overleefd,survived
gelukkige,happy
breek,break
constant,constant
scherp,sharp
proost,Cheers
hoefde,needed
April,April
ellende,trouble
sigaretten,cigarettes
vogels,birds
overval,raid
spion,spy
tank,tank
d'r,her
datje,that
benzine,petrol
Duitsers,Germans
zwijgen,silence
cheque,check
kasteel,castle
begreep,understood
verplaatsen,move
stelde,stated
durft,dares
dossiers,files
winst,gain
mammie,Mommy
gewild,wanted
lig,lie
godzijdank,thank God
kansen,chances
concentreren,concentrate
lege,empty
vertrouwt,trusts
verdacht,suspect
goedenacht,good night
allerlei,all kinds
Chinees,Chinese
roept,calls
weggaat,leaves
kleed,dress
bevrijden,liberate
merken,to notice
Derek,Derek
haven,harbor
plekken,places
gelopen,walked
verwachtte,expected
fabriek,factory
ontspannen,relaxed
beweeg,move
stal,stable
maling,grinding
verdwaald,lost
donderdag,Thursday
doorlopen,go through
advocaten,lawyers
kamers,rooms
verzamelen,collect
daarop,thereupon
duwen,Push
Boston,Boston
sport,sport
onbekende,unknown
onderhandelen,negotiate
smeris,cop
opeten,eat
waarschuw,warn
weggegaan,left
zijne,his
museum,museum
geschenk,gift
vertrok,departed
puur,pure
eventjes,just a moment
voort,continue
meegaan,go along
Gordon,Gordon
beroemd,famous
gemeenschap,community
gevaarlijke,dangerous
iemands,someone's
briljant,brilliant
koude,cold
snelle,fast
alcohol,alcohol
achterin,in the back
collega's,colleagues
broeders,brothers
gezellig,pleasant
herinnering,memory
koninkrijk,kingdom
bewaker,guard
bommen,bombs
koos,chose
lunchen,lunch
dringend,urgent
verliet,left
Florida,Florida
bravo,Bravo
lading,cargo
Lincoln,Lincoln
middernacht,midnight
handelen,trade
terugtrekken,withdraw
bepalen,determine
illegaal,illegal
verander,change
geweren,guns
samenwerken,to collaborate
partij,side
levende,living
botten,bones
brein,brain
leid,lead
groots,grand
grot,cave
volgend,next
zacht,soft
volkomen,completely
klasse,class
zone,zone
mannetje,male
rand,edge
bied,offer
smeerlap,scoundrel
handtekening,signature
wauw,wow
namelijk,namely
beters,better
kerstfeest,Christmas
bedreiging,threat
betekend,meant
centrale,central
vet,fat
gedwongen,forced
meld,report
ogenblik,moment
Maggie,Maggie
plotseling,suddenly
s,s
zijde,side
lied,song
gooide,threw
stoor,disturb
besloot,decided
nieuwsgierig,curious
dapper,brave
fantastische,fantastic
kalmeer,calm down
kanten,sides
allang,long ago
leveren,deliver
gsm,mobile phone
magische,magical
ontslaan,dismiss
lafaard,coward
Sophie,Sophie
hek,fence
hout,wood
truc,trick
bereik,range
negatief,negative
huiswerk,homework
machines,machines
opruimen,tidying up
klonk,sounded
Hollywood,Hollywood
schande,shame
gezorgd,provided
bewust,conscious
daaraan,to that
plassen,puddles
toren,tower
pakje,package
storen,disturb
merk,brand
koopt,buys
as,ash
verdwijn,disappear
expert,expert
Parker,Parker
partners,partners
lokale,local
spannend,exciting
hebbes,got it
angel,angel
verdiende,earned
beantwoorden,to answer
metro,metro
besef,realize
mankeert,is missing
opname,intake
goeds,good
aanklacht,charge
suiker,sugar
openbaar,public
crimineel,criminal
uitzien,look
soep,soup
gericht,aimed
kruis,crotch
effect,effect
helder,bright
identiteit,identity
bedenk,consider
aanwezigheid,presence
scherm,screen
winter,winter
dokters,doctors
droog,dry
sprake,talk
Chinese,Chinese
mail,mail
veroordeeld,convicted
Caesar,Caesar
ingang,Entrance
middag,afternoon
hartstikke,terribly
Connor,Connor
smaakt,tastes
danken,thank
kaartjes,tickets
kiest,chooses
wetten,laws
velen,many
verklaart,explains
televisie,television
rijd,drive
Cooper,Cooper
romantisch,romantic
ramen,windows
verraad,betrayal
zegen,blessing
vies,dirty
munitie,ammunition
hete,hot
voer,feed
klagen,complain
vriendinnen,girlfriends
wijst,points
bibliotheek,library
ondertussen,meanwhile
bevestigd,confirmed
verdwijnt,disappears
draak,dragon
gevoeld,felt
snelweg,motorway
ingewikkeld,complicated
bedrijven,companies
gedurende,during
hut,hut
nicht,niece
plat,flat
hielden,held
verwijderen,to delete
vliegtuigen,airplanes
speelgoed,toys
ofwel,either
negeren,to ignore
uitzicht,prospect
jeetje,gosh
beloven,promise
gecontroleerd,checked
demon,demon
gedraag,behave
gooit,throws
wegen,roads
graaf,count
roze,pink
realiteit,reality
check,check
Lets,Let's
gewicht,weight
attentie,attention
warme,warm
pest,plague
beloning,reward
eenheden,units
opleiding,course
snij,cut
Gibbs,Gibbs
volgde,followed
busje,van
watje,wimp
vergist,mistake
middelbare,secondary
moeilijker,more difficult
opgegeven,specified
ontdekte,discovered
schouder,shoulder
ras,breed
zekerheid,security
resultaat,result
geschikt,suitable
psychiater,psychiatrist
ontspan,Relax
zekere,certain
instructies,instructions
scène,scene
dagboek,diary
daarboven,up there
gevoelig,sensitive
overkant,other side
interessante,interesting
beesten,animals
organisatie,organization
bekende,known person
penis,penis
student,student
tovenaar,wizard
commando,command
fort,fort
tranen,tears
gelegd,laid
verstandig,sensible
verdachten,suspects
mijzelf,myself
lacht,laughs
voorgoed,forever
uitgeschakeld,disabled
blazen,to blow
verpesten,to bully
beet,bite
geraken,get
meekomen,come along
hartaanval,heart attack
schoft,scoundrel
politieke,political
repareren,to repair
bierdopje,bottle cap
veroorzaken,cause
zusje,little sister
Linda,Linda
at,at
herkennen,recognize
koekjes,cookies
schakel,switch
personen,persons
staart,tail
optie,option
beschermd,protected
schutter,shooter
lelijke,ugly
oost,east
gok,gamble
heleboel,a whole lot
geopend,opened
admiraal,admiral
stress,stress
teams,teams
eeuwen,centuries
resultaten,results
vaste,fixed
geboorte,birth
bevestigen,to confirm
drukken,print
Britse,British
feesten,parties
gevolgen,implications
vers,fresh
Duitsland,Germany
beloofde,promised
degenen,those
helden,heroes
little,little
uitziet,looks
sneeuw,snow
jungle,jungle
geruchten,rumors
proef,trial
baby's,babies
middel,resourse
Vietnam,Vietnam
gezichten,faces
Angela,Angela
kopie,copy
releases,releases
slagen,succeed
flikker,faggot
aanslag,scale
jedi,jedi
steunen,supports
momenten,moments
klere,clothes
flauw,faint
won,won
schild,shield
pijnlijk,painful
chocolade,chocolate
football,football
namens,on behalf of
waarbij,whereby
scheiding,parting
gras,grass
trappen,to kick
steven,Steven
bijbel,Bible
uitgaan,going out
verbranden,burn
houding,attitude
verontschuldigen,to apologize
legt,lays
hoorden,heard
speler,player
uitgang,Exit
verstaan,to hear
chip,chip
schudden,shake
vlag,flag
steekt,sticks
bewusteloos,unconscious
NS,NS
bewezen,proven
communicatie,communication
tape,tape
commissaris,commissioner
gereden,driven
voorzitter,chair
soorten,species
technisch,technical
families,families
gedroomd,dreamed
pech,bad luck
dubbel,double
sindsdien,since then
telefoontjes,phone calls
afschuwelijk,horrible
uitweg,exit
therapie,therapy
simpele,simple
rommel,mess
chief,chief
fiets,bicycle
kennelijk,apparently
beschikbaar,available
wanhopig,desperate
jarig,birthday
bescherm,protect
chaos,chaos
raket,rocket
ei,egg
gewoonlijk,usually
uitschakelen,switch off
erdoor,through it
hof,court
hm,hm
echter,however
onbekend,unknown
opgegroeid,grew up
vat,barrel
verbaasd,surprised
wei,whey
nood,need
humor,humor
zuurstof,oxygen
vleugels,wings
San,San
slechter,worse
vertrouwde,trusted
betaalde,paid
dwaas,fool
positief,positive
beroemde,famous
joden,Jews
rotzak,bastard
aanpakken,tackle
maal,meal
boy,boy
mm,mm
schedel,skull
dochters,daughters
verspreiden,spread
weglopen,run away
vriendjes,friends
bezwaar,objection
kranten,newspapers
aangeraakt,touched
proeven,samples
dwingen,force
Potter,Potter
geleid,guided
fantasie,fantasy
verkracht,raped
overvallen,raids
zing,sing
overgeven,yield
Charlotte,Charlotte
schema,schedule
boeten,fines
dodelijk,deadly
Davis,Davis
stabiel,stable
afhandelen,handle
Engelse,English
schilderij,painting
podium,stage
loslaten,letting go
krankzinnig,insane
onderdeel,element
bewaar,keep
excuseren,excuse
morgenavond,tomorrow evening
medicijn,medicine
mamma,mom
oudere,older
moeilijkheden,difficulties
praatte,talked
ratten,rats
interview,interview
boodschappen,groceries
noodgeval,emergency
rekeningen,bills
Japan,Japan
telkens,every
schop,shovel
fase,phase
café,cafe
gerechtigheid,justice
onlangs,recently
serie,series
hufter,bastard
gewonden,injured
vermogen,assets
vrachtwagen,truck
vocht,moisture
seksuele,sexual
uitdaging,challenge 
joch,boy
bid,pray
zieke,sick
Amerikaans,American
reageert,responds
Palmer,Palmer
wiet,weed
theater,theater
hoofdpijn,headache
kanaal,channel
versta,understand
status,status
netwerk,network
vanzelf,automatically
oorzaak,cause
verlegen,shy
doctor,doctor
wond,wound
acteur,actor
hartslag,heartbeat
gedraagt,behaves
grenzen,borders
opdagen,show up
tekst,text
tevoorschijn,appear
uitnodiging,invitation
zowel,both
out,out
bezet,occupied
letterlijk,literal
promotie,promotion
Donna,Donna
huidige,current
ketting,chain
anti,anti
mooier,prettier
avontuur,adventure
verbaast,surprises
filmen,filming
moedig,brave
pols,wrist
leuker,more fun
geplaatst,posted
heten,to be named
vak,compartment
tempel,Temple
besteld,ordered
redde,saved
meegebracht,brought along
Dennis,Dennis
overste,commander
doorbrengen,spend
rende,ran
spoedig,soon
stemming,voting
grootvader,grandfather
bodem,soil
miste,missed
ambassadeur,ambassador
Ethan,Ethan
betwijfel,doubt
titel,title
Rusland,Russia
verschrikkelijke,terrible
motel,motel
schaam,shame
vóór,for
probeerden,tried
medisch,medical
overheen,over
schilden,shields
beschermt,protects
versterking,reinforcement
ridder,knight
experiment,experiment
vloot,fleet
veroorloven,to afford
versie,version
bewaking,surveillance
bijzonders,special
levert,delivers
grijpen,to grasp
lagen,layers
Logan,Logan
achterkant,back
das,that
tip,tip
bijten,biting
afsluiten,to block
gekwetst,injured
trekker,tractor
Aaron,Aaron
daad,deed
justitie,justice
go,go
gekost,cost
September,September
blaas,bladder
stak,stuck
triest,sad
beslissingen,decisions
miljard,billion
gestoken,stabbed
bijzondere,special
koorts,fever
geneukt,fucked
vooruitgang,progress
bot,bone
teruggekomen,returned
oefening,excercise
Irak,Iraq
zoenen,to kiss
zwakke,weak
make-up,makeup
dorst,thirst
gemak,ease
tijdelijk,temporary
Ellie,Ellie
behoefte,need
media,media
casino,casino
correct,correct
zenuwachtig,nervous
spanning,tension
strak,tight
aantrekkelijk,attractive
rijbewijs,driver's license
leerling,student
steden,towns
ministerie,ministry
meende,thought
cowboy,cowboy
opgegeten,eaten
aanwijzingen,instructions
kloten,balls
vice-,vice-
laden,loading
jee,jee
waarderen,appreciate
minste,at least
Collins,Collins
klinken,sound
stukjes,pieces
maaltijd,meal
relaties,relationships
omdraaien,turn around
gelegenheid,occasion
beschadigd,damaged
dollars,dollars
uitmaken,to finish
eigendom,property
sociale,social
aanwijzing,indication
rechtstreeks,directly
verdrietig,sad
daden,deeds
ontworpen,designed
zender,transmitter
beantwoord,answered
bagage,luggage
overleeft,survives
schone,clean
hierbij,hereby
emoties,emotions
weghalen,remove
verkeer,traffic
rit,ride
paspoort,passport
verzekering,insurance
vandaar,hence
jongetje,little boy
waanzin,madness
bestellen,order
mobiel,mobile
vrouwelijke,female
doof,deaf
werkelijkheid,reality
zusters,sisters
ruilen,exchange
kopje,little cup
Todd,Todd
Olivia,Olivia
inclusief,inclusive
gif,gif
verzinnen,to invent
satelliet,satellite
betekenis,meaning
motoren,engines
aard,earth
paleis,palace
hoeren,whores
wachtte,waited
bewijst,proves
vullen,fill
slimmer,smarter
ondergoed,underwear
uitvoeren,perform
overnemen,to take over
uitkomen,come out
Jessica,Jessica
hoofdkwartier,headquarters
goedemiddag,Good afternoon
computers,computers
getraind,trained
rollen,roles
leidde,led
longen,lungs
shuttle,shuttle
duiken,to dive
it,it
scan,scan
tenslotte,finally
dure,expensive
middelen,resources
oh,Oh
raketten,rockets
bewustzijn,conscience
Hitler,Hitler
stok,stick
betrapt,caught
Walker,Walker
brandt,burns
datum,date
wijf,bitch
zielen,souls
kreng,bitch
ogenblikje,One moment
morgenvroeg,tomorrow morning
federale,federal
opgeblazen,inflated
halt,stop
gele,yellow
woensdag,Wednesday
mobiele,mobile
eerlijke,honest
ingehuurd,hired
mulder,mulder
geladen,loaded
biedt,offers
bijt,bite
koe,cow
etentje,dinner
bijeenkomst,meeting
katten,cats
vrijen,making love
kwart,quarter
coma,coma
concentreer,concentrate
snappen,understand
link,link
aanklager,prosecutor
braaf,good
veiliger,safer
beheersen,master
buitenlandse,foreign
plant,plant
vloog,flew
Miami,Miami
Sydney,Sydney
slaaf,slave
nl.,nl.
slaven,slaves
zeep,soap
bloeden,bleeding
spelers,players
arresteer,arrest
sector,sector
coördinaten,coordinates
overeen,agree
zout,salty
ofzo,or something
kleiner,smaller
traditie,tradition
konijn,rabbit
symbool,symbol
ondervragen,question
creëren,create
afgewezen,rejected
politieagent,police officer
borg,deposit
zorgde,ensured
documenten,documents
voorzien,provided
Grant,Grant
vervolgens,then
kliniek,clinic
vergeleken,compared
vredesnaam,name of peace
oppakken,pick up
vroegen,asked
defensie,defense
info,info
cadeautje,gift
kwade,evil
eeuwige,eternal
flinke,substantial
staren,staring
combinatie,combination
opblazen,to inflate
zoektocht,quest
gedumpt,dumped
s,s
terugkeren,return
discussie,discussion
heuvel,hill
avenue,avenue
nut,utility
lust,desire
patroon,cartridge
bestemming,destination
dient,serves
verzonnen,invented
wegging,left
Kirk,Kirk
turner,gymnast
gespannen,stretched
besefte,realized
bloeddruk,blood pressure
bevindt,is located
nachten,nights
stervende,dying
beleefd,polite
neuk,fuck
hol,hollow
oordeel,judgement
ontploffen,explode
eerwaarde,Reverend
knie,knee
Nina,Nina
buitenaardse,alien
lieveling,favorite
demonen,demons
studio,studio
lawaai,noise
gehele,entire
verplaatst,moved
waag,weigh
college,college
pagina,page
passie,passion
mietje,sissy
Oliver,Oliver
verspillen,wasting
lessen,lessons
zonden,sins
techniek,technology
relax,relax
cirkel,circle
gebeten,bitten
natuurlijke,natural
veronderstel,suppose
applaus,applause
schoonmaken,cleaning
kooi,cage
doodsbang,terrified
India,India
riskeren,risk
brandstof,fuel
veertig,forty
voeden,to feed
betekende,meant
grazen,grazing
haatte,hated
gewapend,armed
pure,pure
verrot,rotten
planten,plants
droomde,dreamed
eikels,acorns
vrijgelaten,released
bloem,flower
wreed,cruel
groeit,grows
wall,wall
gebeurtenissen,events
beslag,seizure
voortaan,henceforth
gemerkt,marked
achtergrond,background
keuzes,choices
oproep,call
Willie,Willie
goedendag,Good day
bemoei,interfere
wetenschapper,scientist
kok,cook
pikken,to pick
toestel,device
afval,waste
Santa,Santa
criminelen,criminals
daag,day
naaien,sewing
verpleegster,nurse
rots,rock
terugbrengen,return
crisis,crisis
uzelf,yourself
genaaid,sewn
Veronica,Veronica
herkent,recognizes
jonger,younger
um,um
realiseerde,realized
journalist,journalist
risico's,risks
voertuig,vehicle
overlevenden,survivors
karakter,character
besmet,infected
Diego,Diego
loon,wage
trouwt,marries
machtige,mighty
volhouden,to persevere
online,online
long,lung
identificeren,identify
oudste,oldest
Ned,Dutch
pan,Pan
augustus,August
starfleet,starfleet
centimeter,centimeter
explosieven,explosives
greep,grip
staf,staff
duistere,dark
toppers,top performers
gokken,gambling
gekleed,dressed
Mason,Mason
county,county
monica,Monica
studie,study
bevrijd,liberated
wii,Wii
neger,negro
zenuwen,nerves
gereedschap,tools
pissen,pee
juni,June
in,in
mei,May
wonden,wounds
doodgeschoten,shot dead
commentaar,commentary
periode,period
inpakken,packing
temperatuur,temperature
verplicht,obliged
uitslag,rash
frisse,fresh
langskomen,come by
plastic,plastic
verspreid,spread
goedkoop,cheap
tweeling,twin
sectie,section
procedure,procedure
duw,push
actief,active
boze,angry
jasje,jacket
ongelukkig,unhappy
koelkast,refrigerator
infectie,infection
behouden,retain
profiel,profile
schulden,debts
aandelen,shares
riep,called
riem,belt
echo,echo
huil,cry
schreeuw,scream
logboek,log
laarzen,boots
glazen,glass
schamen,ashamed
tof,cool
favoriet,favorite
apart,apart
gijzelaars,hostages
gefaald,failed
Victoria,Victoria
emotioneel,emotional
kwijtgeraakt,lost
motief,motif
militair,military
Curtis,Curtis
voorbereiden,prepare
schuur,barn
portemonnee,wallet
wiskunde,mathematics
snoep,sweets
stevig,sturdy
privacy,privacy
service,service
accepteer,accept
populair,popular
koninklijke,royal
kindje,baby
benieuwd,curious
verzeker,insure
senaat,Senate
Sid,Sid
winkelen,shopping
voorgesteld,suggested
Manhattan,Manhattan
internationale,International
juli,July
ervaren,experienced
weigeren,to refuse
rob,rob
hoofdstuk,chapter
toegestaan,allowed
toestaan,allow
naderen,approach
openbare,public
steelt,steals
heerlijke,delicious
doorgeven,pass on
incident,incident
douchen,shower
all-in-one,all-in-one
bedreigd,threatened
reeds,already
Duke,Duke
geleefd,lived
kleintje,little one
noemden,called
oktober,October
geslaagd,passed
Führer,Führer
heroïne,heroin
verloofd,engaged
opzet,design
misdaden,crimes
delta,delta
star,star
vervloekt,cursed
achteraan,at the back
verbergt,hides
gestoorde,disturbed
passagiers,passengers
heelal,universe
bloedt,bleeding
gestraft,punished
Virginia,Virginia
versieren,decorate
verwoest,destroyed
zowat,just about
gesprekken,conversations
schei,chemistry
porno,porn
bevat,contains
daarnet,just now
pijp,pipe
begaan,committed
verbind,connect
uiterlijk,at the latest
ontvoering,kidnapping
aangeven,indicate
schoen,shoe
verstop,hide
Island,Island
klimmen,to climb
contant,cash
varen,sailing
set,set
opgehangen,hung
bedrag,amount
knuffel,cuddly toy
aangeboden,offered
verknald,ruined
kostte,cost
jager,hunter
glimlach,smile
love,love
sukkels,losers
blank,white
McGee,McGee
overeind,upright
Russell,Russell
beurs,stock exchange
onzichtbaar,invisible
kandidaat,candidate
beroofd,robbed
uitgevoerd,carried out
ton,ton
voetbal,football
dekken,cover
diepe,deep
dominee,pastor
leeuw,lion
dieper,deeper
Jill,Jill
fortuin,fortune
inzetten,to stake
zweet,sweat
Gina,Gina
gewoonte,habit
gebouwen,buildings
Frodo,Frodo
gebrek,lack
bekennen,confess
durven,to dare
Justin,Justin
opzetten,to set up
zonen,sons
toont,shows
huren,rent
gevuld,filled
schoppen,kicks
geniaal,genius
officiële,official
indien,if
Japanse,Japanese
Harvard,Harvard
erbuiten,outside
mekaar,each other
blok,block
tja,well
stierven,died
pijpen,pipes
brigadier,brigadier
kwartier,quarter
interne,internal
wennen,to get used to
inzet,stake
mariniers,marines
plekje,spot
meesten,most
beseft,realizes
vielen,fell
waaraan,to which
verward,confused
kleuren,to colour
mysterie,mystery
federatie,federation
campagne,campaign
verlangen,desire
knal,pop
aankomt,arrives
behandelt,treats
systemen,systems
ernstige,serious
circus,circus
voordeur,front door
rechtszaak,court case
maffia,mafia
recept,recipe
grapjes,jokes
boeren,farmers
Travis,Travis
lente,spring
toekomstige,future
verblijf,stay
moderne,modern
piano,piano
terrorist,terrorist
nuttig,useful
zaal,room
vette,fat
afgemaakt,finished
opgevoed,raised
overstuur,upset
beweert,claims
bevriend,befriended
belangrijks,important
geactiveerd,activated
draaide,turned
verklaar,explain
ezel,donkey
tandarts,dentist
chirurg,surgeon
ontkennen,to deny
fruit,fruit
allemachtig,Good heavens
speech,speech
misverstand,misunderstanding
vermijden,to avoid
paradijs,paradise
Spaans,Spanish
bewaard,preserved
behoort,belongs
Sheldon,Sheldon
exact,exactly
afdrukken,print
getrokken,drawn
slechtste,worst
zingt,sings
lijdt,suffers
megan,Megan
uitgeput,exhausted
Burke,Burke
engelen,angels
drama,drama
mochten,were allowed
Canada,Canada
beledigd,insulted
lage,low
